,activity,0,windowtsseconds
0,SITTING,SITTING,145881596
1,SITTING,SITTING,145881604
2,SITTING,SITTING,145881605
3,SITTING,SITTING,145881608
4,SITTING,SITTING,145881609
5,SITTING,SITTING,145881610
6,SITTING,WALKING,145881647
7,SITTING,SITTING,145881648
8,SITTING,SITTING,145881649
9,SITTING,SITTING,145881652
10,SITTING,SITTING,145881653
11,SITTING,SITTING,145881654
12,SITTING,SITTING,145881655
13,SITTING,SITTING,145881656
14,SITTING,SITTING,145881657
15,SITTING,SITTING,145881658
16,SITTING,SITTING,145881662
17,SITTING,SITTING,145881669
18,SITTING,SITTING,145881670
19,SITTING,SITTING,145881672
20,SITTING,SITTING,145881673
21,SITTING,SITTING,145881674
22,SITTING,SITTING,145881677
23,SITTING,SITTING,145881680
24,SITTING,SITTING,145881682
25,SITTING,SITTING,145881683
26,SITTING,SITTING,145881685
27,SITTING,SITTING,145881686
28,SITTING,SITTING,145881688
29,SITTING,SITTING,145881689
30,SITTING,SITTING,145881691
31,SITTING,SITTING,145881693
32,SITTING,SITTING,145881695
33,SITTING,SITTING,145881696
34,SITTING,SITTING,145881697
35,SITTING,SITTING,145881698
36,SITTING,SITTING,145881701
37,SITTING,WALKING,145881702
38,SITTING,SITTING,145881703
39,SITTING,WALKING,145881704
40,SITTING,SITTING,145881728
41,SITTING,SITTING,145881729
42,SITTING,SITTING,145881730
43,SITTING,SITTING,145881751
44,SITTING,SITTING,145881752
45,SITTING,SITTING,145881753
46,SITTING,SITTING,145881758
47,SITTING,SITTING,145881759
48,SITTING,SITTING,145881760
49,SITTING,SITTING,145881762
50,SITTING,SITTING,145881763
51,SITTING,SITTING,145881766
52,SITTING,SITTING,145881767
53,SITTING,SITTING,145881768
54,SITTING,SITTING,145881771
55,SITTING,SITTING,145881772
56,SITTING,SITTING,145881774
57,SITTING,SITTING,145881776
58,SITTING,SITTING,145881777
59,SITTING,SITTING,145881823
60,SITTING,SITTING,145881825
61,SITTING,SITTING,145881827
62,SITTING,SITTING,145881831
63,SITTING,SITTING,145881832
64,SITTING,SITTING,145881833
65,SITTING,SITTING,145881835
66,SITTING,SITTING,145881838
67,SITTING,SITTING,145881839
68,SITTING,SITTING,145881843
69,SITTING,SITTING,145881844
70,SITTING,SITTING,145881845
71,SITTING,SITTING,145881846
72,SITTING,SITTING,145881847
73,SITTING,SITTING,145881849
74,SITTING,SITTING,145881850
75,SITTING,SITTING,145881852
76,SITTING,SITTING,145881854
77,SITTING,SITTING,145881855
78,SITTING,SITTING,145881904
79,SITTING,SITTING,145881905
80,SITTING,SITTING,145881909
81,SITTING,SITTING,145881912
82,SITTING,SITTING,145881913
83,SITTING,SITTING,145881948
84,SITTING,SITTING,145881949
85,SITTING,SITTING,145881959
86,SITTING,SITTING,145881960
87,WALKING,WALKING,145881543
88,WALKING,WALKING,145881544
89,WALKING,WALKING,145881548
90,WALKING,WALKING,145881549
91,WALKING,WALKING,145881550
92,WALKING,WALKING,145881555
93,WALKING,WALKING,145881556
94,WALKING,WALKING,145881557
95,WALKING,WALKING,145881560
96,WALKING,WALKING,145881564
97,WALKING,WALKING_UP,145881566
98,WALKING,WALKING,145881570
99,WALKING,WALKING,145881572
100,WALKING,WALKING,145881573
101,WALKING,WALKING,145881576
102,WALKING,WALKING,145881583
103,WALKING,SITTING,145881585
104,WALKING,WALKING,145881586
105,WALKING,WALKING,145881587
106,WALKING,WALKING,145881591
107,WALKING,WALKING,145881592
108,WALKING,WALKING,145881595
109,WALKING,WALKING,145881596
110,WALKING,WALKING,145881599
111,WALKING,WALKING,145881600
112,WALKING,WALKING,145881612
113,WALKING,WALKING,145881617
114,WALKING,WALKING,145881619
115,WALKING,WALKING,145881621
116,WALKING,WALKING,145881622
117,WALKING,WALKING,145881623
118,WALKING,WALKING,145881624
119,WALKING,WALKING,145881626
120,WALKING,WALKING,145881631
121,WALKING,WALKING,145881633
122,WALKING,WALKING,145881636
123,WALKING,WALKING,145881637
124,WALKING,WALKING,145881638
125,WALKING,WALKING,145881641
126,WALKING,WALKING,145881642
127,WALKING,WALKING,145881643
128,WALKING,WALKING,145881644
129,WALKING,WALKING_UP,145881705
130,WALKING,WALKING,145881706
131,WALKING,WALKING_UP,145881712
132,WALKING,WALKING,145881716
133,WALKING,WALKING,145881724
134,WALKING,WALKING,145881725
135,WALKING,WALKING,145881777
136,WALKING,SITTING,145881779
137,WALKING,WALKING,145881780
138,WALKING,WALKING_UP,145881783
139,WALKING,WALKING,145881784
140,WALKING,WALKING,145881786
141,WALKING,WALKING,145881788
142,WALKING,WALKING,145881796
143,WALKING,WALKING,145881803
144,WALKING,WALKING,145881806
145,WALKING,WALKING,145881807
146,WALKING,WALKING,145881808
147,WALKING,WALKING,145881810
148,WALKING,WALKING,145881811
149,WALKING,WALKING,145881814
150,WALKING,WALKING,145881815
151,WALKING,WALKING,145881818
152,WALKING,WALKING,145881855
153,WALKING,WALKING,145881856
154,WALKING,WALKING,145881858
155,WALKING,WALKING,145881860
156,WALKING,WALKING,145881866
157,WALKING,WALKING_UP,145881869
158,WALKING,WALKING,145881873
159,WALKING,WALKING,145881877
160,WALKING,WALKING,145881884
161,WALKING,WALKING,145881892
162,WALKING,WALKING,145881893
163,WALKING,WALKING,145881913
164,WALKING,SITTING,145881918
165,WALKING,WALKING_UP,145881920
166,WALKING,SITTING,145881923
167,WALKING,SITTING,145881924
168,WALKING,WALKING,145881928
169,WALKING,WALKING,145881929
170,WALKING,WALKING,145881930
171,WALKING,WALKING,145881937
172,WALKING,WALKING,145881938
173,WALKING,WALKING,145881939
174,WALKING,WALKING,145881943
175,WALKING,WALKING_UP,145881954
176,WALKING,WALKING,145881964
177,WALKING,WALKING,145881966
178,WALKING,WALKING,145881969
179,WALKING_DOWN,SITTING,145881561
180,WALKING_DOWN,WALKING,145881562
181,WALKING_DOWN,WALKING,145881563
182,WALKING_DOWN,WALKING,145881574
183,WALKING_DOWN,WALKING,145881576
184,WALKING_DOWN,WALKING_DOWN,145881589
185,WALKING_DOWN,WALKING,145881627
186,WALKING_DOWN,WALKING,145881629
187,WALKING_DOWN,WALKING,145881710
188,WALKING_DOWN,WALKING,145881711
189,WALKING_DOWN,WALKING,145881783
190,WALKING_DOWN,WALKING,145881792
191,WALKING_DOWN,WALKING_DOWN,145881812
192,WALKING_DOWN,WALKING,145881813
193,WALKING_DOWN,WALKING,145881860
194,WALKING_DOWN,WALKING_DOWN,145881861
195,WALKING_DOWN,WALKING_DOWN,145881893
196,WALKING_DOWN,WALKING_DOWN,145881894
197,WALKING_DOWN,WALKING,145881895
198,WALKING_DOWN,WALKING,145881917
199,WALKING_DOWN,WALKING,145881918
200,WALKING_DOWN,WALKING,145881921
201,WALKING_DOWN,SITTING,145881923
202,WALKING_DOWN,WALKING,145881931
203,WALKING_DOWN,WALKING,145881932
204,WALKING_DOWN,WALKING,145881933
205,WALKING_DOWN,WALKING_UP,145881940
206,WALKING_DOWN,WALKING,145881941
207,WALKING_DOWN,WALKING,145881950
208,WALKING_DOWN,WALKING_DOWN,145881951
209,WALKING_DOWN,WALKING,145881961
210,WALKING_DOWN,WALKING_DOWN,145881962
211,WALKING_DOWN,WALKING,145881963
212,WALKING_UP,WALKING,145881566
213,WALKING_UP,WALKING,145881568
214,WALKING_UP,WALKING,145881579
215,WALKING_UP,WALKING_UP,145881592
216,WALKING_UP,WALKING_UP,145881593
217,WALKING_UP,WALKING_UP,145881629
218,WALKING_UP,WALKING,145881630
219,WALKING_UP,WALKING,145881714
220,WALKING_UP,WALKING_UP,145881723
221,WALKING_UP,SITTING,145881796
222,WALKING_UP,WALKING,145881797
223,WALKING_UP,WALKING_UP,145881798
224,WALKING_UP,WALKING,145881804
225,WALKING_UP,WALKING,145881815
226,WALKING_UP,WALKING,145881817
227,WALKING_UP,WALKING,145881870
228,WALKING_UP,WALKING,145881871
229,WALKING_UP,WALKING,145881873
230,WALKING_UP,WALKING,145881882
231,WALKING_UP,WALKING,145881883
232,WALKING_UP,WALKING,145881884
233,WALKING_UP,WALKING,145881924
234,WALKING_UP,WALKING,145881925
235,WALKING_UP,WALKING,145881926
236,WALKING_UP,WALKING,145881927
237,WALKING_UP,WALKING,145881936
238,WALKING_UP,WALKING,145881945
239,WALKING_UP,WALKING,145881955
240,WALKING_UP,WALKING_UP,145881956
