,activity,0,windowtsseconds
0,WALKING,WALKING,145881542
1,WALKING,SITTING,145881546
2,WALKING,WALKING,145881548
3,WALKING_UP,WALKING,145881551
4,WALKING_UP,SITTING,145881552
5,WALKING,WALKING,145881554
6,WALKING,WALKING,145881557
7,WALKING,WALKING,145881558
8,WALKING,SITTING,145881561
9,WALKING,WALKING_DOWN,145881563
10,WALKING,SITTING,145881564
11,WALKING,WALKING,145881566
12,WALKING_UP,WALKING,145881566
13,WALKING_UP,WALKING_UP,145881567
14,WALKING,WALKING,145881570
15,WALKING,WALKING,145881576
16,WALKING_DOWN,WALKING_DOWN,145881576
17,WALKING,WALKING,145881578
18,WALKING_UP,WALKING,145881579
19,WALKING,WALKING,145881579
20,WALKING_UP,WALKING_UP,145881580
21,WALKING_UP,SITTING,145881582
22,WALKING,WALKING,145881585
23,WALKING,WALKING_DOWN,145881586
24,WALKING,WALKING,145881588
25,WALKING_DOWN,WALKING_DOWN,145881589
26,WALKING,SITTING,145881591
27,WALKING,WALKING,145881592
28,WALKING_UP,WALKING,145881593
29,WALKING,SITTING,145881594
30,SITTING,WALKING,145881596
31,WALKING,WALKING,145881596
32,WALKING,SITTING,145881598
33,WALKING,WALKING,145881599
34,WALKING,WALKING,145881600
35,SITTING,WALKING,145881603
36,SITTING,SITTING,145881604
37,SITTING,SITTING,145881605
38,SITTING,SITTING,145881606
39,SITTING,SITTING,145881607
40,SITTING,WALKING,145881608
41,SITTING,WALKING,145881609
42,WALKING,SITTING,145881610
43,WALKING,WALKING,145881615
44,WALKING,WALKING,145881616
45,WALKING,WALKING,145881620
46,WALKING,WALKING,145881621
47,WALKING,WALKING,145881622
48,WALKING,WALKING,145881623
49,WALKING,SITTING,145881625
50,WALKING_DOWN,SITTING,145881628
51,WALKING_UP,SITTING,145881629
52,WALKING,SITTING,145881630
53,WALKING,SITTING,145881631
54,WALKING,WALKING,145881634
55,WALKING,WALKING,145881636
56,WALKING,WALKING,145881641
57,WALKING,WALKING,145881643
58,SITTING,SITTING,145881644
59,SITTING,SITTING,145881647
60,SITTING,SITTING,145881648
61,SITTING,WALKING,145881649
62,SITTING,SITTING,145881650
63,SITTING,SITTING,145881654
64,SITTING,SITTING,145881655
65,SITTING,SITTING,145881659
66,SITTING,SITTING,145881660
67,SITTING,SITTING,145881661
68,SITTING,SITTING,145881662
69,SITTING,SITTING,145881663
70,SITTING,SITTING,145881666
71,SITTING,SITTING,145881667
72,SITTING,WALKING,145881669
73,SITTING,WALKING,145881671
74,SITTING,SITTING,145881676
75,SITTING,WALKING,145881677
76,SITTING,SITTING,145881679
77,SITTING,WALKING,145881682
78,SITTING,SITTING,145881683
79,SITTING,SITTING,145881687
80,SITTING,SITTING,145881688
81,SITTING,WALKING,145881690
82,SITTING,SITTING,145881691
83,SITTING,SITTING,145881693
84,SITTING,SITTING,145881694
85,SITTING,SITTING,145881699
86,SITTING,WALKING,145881700
87,SITTING,WALKING,145881701
88,SITTING,WALKING,145881704
89,SITTING,SITTING,145881705
90,WALKING,WALKING_UP,145881706
91,WALKING,WALKING_DOWN,145881708
92,WALKING_DOWN,WALKING_DOWN,145881710
93,WALKING,WALKING,145881711
94,WALKING,WALKING,145881712
95,WALKING_UP,SITTING,145881713
96,WALKING,SITTING,145881715
97,WALKING_DOWN,WALKING_DOWN,145881718
98,WALKING_DOWN,WALKING,145881719
99,WALKING,WALKING,145881720
100,WALKING_UP,SITTING,145881722
101,WALKING,WALKING,145881724
102,WALKING_UP,WALKING_UP,145881724
103,WALKING,WALKING,145881725
104,WALKING,WALKING,145881726
105,WALKING,WALKING,145881727
106,SITTING,SITTING,145881728
