,activity,0,windowtsseconds
0,SITTING,SITTING,145881596
1,SITTING,WALKING,145881604
2,SITTING,SITTING,145881605
3,SITTING,SITTING,145881608
4,SITTING,WALKING,145881609
5,SITTING,WALKING,145881610
6,SITTING,WALKING,145881647
7,SITTING,SITTING,145881648
8,SITTING,SITTING,145881649
9,SITTING,SITTING,145881652
10,SITTING,SITTING,145881653
11,SITTING,SITTING,145881654
12,SITTING,SITTING,145881655
13,SITTING,SITTING,145881656
14,SITTING,SITTING,145881657
15,SITTING,SITTING,145881658
16,SITTING,SITTING,145881662
17,SITTING,SITTING,145881669
18,SITTING,SITTING,145881670
19,SITTING,WALKING,145881672
20,SITTING,SITTING,145881674
21,SITTING,WALKING,145881675
22,SITTING,WALKING,145881677
23,SITTING,SITTING,145881681
24,SITTING,SITTING,145881683
25,SITTING,SITTING,145881684
26,SITTING,SITTING,145881686
27,SITTING,SITTING,145881688
28,SITTING,SITTING,145881689
29,SITTING,SITTING,145881690
30,SITTING,SITTING,145881692
31,SITTING,SITTING,145881694
32,SITTING,SITTING,145881696
33,SITTING,SITTING,145881697
34,SITTING,SITTING,145881698
35,SITTING,SITTING,145881702
36,SITTING,SITTING,145881703
37,SITTING,SITTING,145881704
38,SITTING,WALKING,145881705
39,SITTING,WALKING_DOWN,145881728
40,SITTING,SITTING,145881729
41,SITTING,SITTING,145881730
42,SITTING,WALKING,145881732
43,SITTING,SITTING,145881752
44,SITTING,SITTING,145881753
45,SITTING,SITTING,145881758
46,SITTING,SITTING,145881760
47,SITTING,SITTING,145881761
48,SITTING,SITTING,145881763
49,SITTING,SITTING,145881766
50,SITTING,SITTING,145881767
51,SITTING,SITTING,145881769
52,SITTING,SITTING,145881772
53,SITTING,SITTING,145881773
54,SITTING,SITTING,145881776
55,SITTING,WALKING,145881777
56,SITTING,SITTING,145881824
57,SITTING,SITTING,145881826
58,SITTING,SITTING,145881827
59,SITTING,SITTING,145881831
60,SITTING,SITTING,145881832
61,SITTING,SITTING,145881833
62,SITTING,SITTING,145881834
63,SITTING,SITTING,145881838
64,SITTING,SITTING,145881839
65,SITTING,SITTING,145881844
66,SITTING,SITTING,145881845
67,SITTING,SITTING,145881846
68,SITTING,SITTING,145881847
69,SITTING,SITTING,145881849
70,SITTING,SITTING,145881850
71,SITTING,SITTING,145881851
72,SITTING,SITTING,145881853
73,SITTING,SITTING,145881855
74,SITTING,SITTING,145881904
75,SITTING,SITTING,145881905
76,SITTING,SITTING,145881907
77,SITTING,SITTING,145881912
78,SITTING,WALKING_DOWN,145881913
79,SITTING,SITTING,145881948
80,SITTING,SITTING,145881949
81,SITTING,SITTING,145881959
82,SITTING,SITTING,145881960
83,SITTING,SITTING,145881961
84,WALKING,WALKING,145881543
85,WALKING,WALKING_DOWN,145881544
86,WALKING,WALKING,145881548
87,WALKING,WALKING,145881549
88,WALKING,WALKING,145881550
89,WALKING,WALKING,145881557
90,WALKING,WALKING,145881558
91,WALKING,WALKING,145881561
92,WALKING,SITTING,145881566
93,WALKING,WALKING,145881570
94,WALKING,SITTING,145881573
95,WALKING,SITTING,145881574
96,WALKING,SITTING,145881578
97,WALKING,WALKING_DOWN,145881585
98,WALKING,WALKING,145881586
99,WALKING,WALKING_DOWN,145881587
100,WALKING,WALKING,145881588
101,WALKING,WALKING,145881592
102,WALKING,WALKING_UP,145881594
103,WALKING,WALKING,145881596
104,WALKING,WALKING,145881598
105,WALKING,WALKING,145881600
106,WALKING,WALKING,145881601
107,WALKING,WALKING,145881613
108,WALKING,WALKING,145881618
109,WALKING,WALKING,145881620
110,WALKING,WALKING,145881622
111,WALKING,WALKING,145881623
112,WALKING,WALKING,145881624
113,WALKING,WALKING,145881625
114,WALKING,WALKING,145881627
115,WALKING,WALKING,145881633
116,WALKING,WALKING,145881634
117,WALKING,WALKING,145881637
118,WALKING,WALKING,145881638
119,WALKING,WALKING,145881639
120,WALKING,WALKING,145881642
121,WALKING,WALKING,145881643
122,WALKING,SITTING,145881644
123,WALKING,WALKING_UP,145881705
124,WALKING,WALKING,145881706
125,WALKING,WALKING,145881707
126,WALKING,SITTING,145881715
127,WALKING,WALKING,145881717
128,WALKING,WALKING,145881725
129,WALKING,WALKING,145881726
130,WALKING,WALKING,145881779
131,WALKING,WALKING,145881783
132,WALKING,WALKING,145881784
133,WALKING,WALKING,145881785
134,WALKING,WALKING,145881788
135,WALKING,WALKING,145881789
136,WALKING,WALKING,145881795
137,WALKING,WALKING_UP,145881800
138,WALKING,WALKING,145881806
139,WALKING,WALKING,145881807
140,WALKING,WALKING,145881808
141,WALKING,SITTING,145881811
142,WALKING,WALKING,145881813
143,WALKING,WALKING,145881815
144,WALKING,WALKING,145881818
145,WALKING,WALKING,145881819
146,WALKING,WALKING,145881856
147,WALKING,WALKING,145881857
148,WALKING,WALKING,145881859
149,WALKING,WALKING_UP,145881866
150,WALKING,WALKING,145881869
151,WALKING,SITTING,145881873
152,WALKING,WALKING,145881874
153,WALKING,WALKING,145881879
154,WALKING,WALKING,145881884
155,WALKING,WALKING,145881889
156,WALKING,WALKING_UP,145881893
157,WALKING,WALKING_UP,145881913
158,WALKING,WALKING_DOWN,145881914
159,WALKING,WALKING,145881919
160,WALKING,WALKING,145881921
161,WALKING,WALKING,145881924
162,WALKING,WALKING,145881928
163,WALKING,WALKING,145881929
164,WALKING,WALKING,145881930
165,WALKING,WALKING,145881931
166,WALKING,WALKING,145881938
167,WALKING,WALKING,145881939
168,WALKING,WALKING,145881943
169,WALKING,WALKING,145881954
170,WALKING,WALKING,145881964
171,WALKING,WALKING,145881965
172,WALKING,WALKING,145881967
173,WALKING_DOWN,SITTING,145881561
174,WALKING_DOWN,WALKING,145881562
175,WALKING_DOWN,SITTING,145881563
176,WALKING_DOWN,WALKING,145881574
177,WALKING_DOWN,WALKING,145881576
178,WALKING_DOWN,SITTING,145881627
179,WALKING_DOWN,WALKING,145881628
180,WALKING_DOWN,WALKING_DOWN,145881710
181,WALKING_DOWN,SITTING,145881711
182,WALKING_DOWN,SITTING,145881792
183,WALKING_DOWN,WALKING,145881812
